date,z_carry,z_momentum,composite,position
2006-04-01,2.087300384259994,1.2740366267859722,1.5180157540281787,1
2006-05-01,2.031085948051089,0.6173194167538042,1.0414493761429897,1
2006-06-01,1.9586229777959518,0.5366313685298079,0.963228851309651,1
2006-07-01,1.9172769140432817,0.3519574183554599,0.8215532670618064,1
2006-08-01,1.8086533115073002,0.8472161067601128,1.135647268184269,1
2006-09-01,1.7067333424418336,0.5485815391169642,0.896027080114425,1
2006-10-01,1.6120754681252962,0.05364890511844854,0.5211768740205028,1
2006-11-01,1.5246331151924872,-0.45365201370649366,0.13983352496320056,1
2006-12-01,1.4424116098552142,0.06450741975161325,0.4778786767826935,1
2007-01-01,1.3687855850730206,0.3003635174052609,0.6208901377055888,1
2007-02-01,1.3024483455943956,0.21159364413093423,0.5388500545699726,1
2007-03-01,1.197751449322185,-0.201138377640154,0.21852857044854773,1
2007-04-01,1.1091713273579575,0.4832422414629615,0.6710209672314603,1
2007-05-01,1.034478803361939,0.9437568971896303,0.9709734690413229,1
2007-06-01,0.9703692559031758,0.8040912638881357,0.8539746614926476,1
2007-07-01,0.9156755853397028,0.0808770796448437,0.33131663135330147,1
2007-08-01,0.8170344795339591,-0.7777211641159426,-0.29929447102097206,-1
2007-09-01,0.7161351076593979,-1.0034629348480943,-0.48758352209584654,-1
2007-10-01,0.5883294783471538,-0.7601451585085689,-0.35560276745185204,-1
2007-11-01,0.4122876546304026,-1.182618647883987,-0.7041467571296701,-1
2007-12-01,0.19423365206680235,-1.652174694469695,-1.0982521905087457,-1
2008-01-01,-0.08245984017432162,-2.429808092662288,-1.7256036169158981,-1
2008-02-01,-0.6189461867926634,-2.3306085837686443,-1.81710986467585,-1
2008-03-01,-1.185485237737536,-2.4190902081074337,-2.049008716996464,-1
2008-04-01,-1.726640041703949,-1.9736304773297682,-1.8995333466420221,-1
2008-05-01,-2.1686786506850244,-1.88330394146577,-1.968916354231546,-1
2008-06-01,-2.3895327438724854,-1.7980573014178962,-1.975499934154273,-1
2008-07-01,-2.444941498256594,-1.1562389996034566,-1.5428497491993975,-1
2008-08-01,-2.39953247539319,-0.7802764247431403,-1.266053239938155,-1
2008-09-01,-2.3419804869223633,-0.9135738417487876,-1.3420958353008603,-1
2008-10-01,-2.409924196348722,-1.6217434770510146,-1.8581976928403265,-1
2008-11-01,-2.431902485855736,-1.5378465590084436,-1.8060633370626311,-1
2008-12-01,-2.397607248255999,-1.9144684125833364,-2.059410063285135,-1
2009-01-01,-2.2704716087526062,-1.4536384125007258,-1.69868837137629,-1
2009-02-01,-2.123894656452548,-0.30799737830526236,-0.852766561749448,-1
2009-03-01,-1.9911249165127038,0.35182582442294363,-0.35105939785775064,-1
2009-04-01,-1.8705249502592378,-0.12894389704204423,-0.6514182130072023,-1
2009-05-01,-1.7537508406173883,-0.6723032524949658,-0.9967375289316924,-1
2009-06-01,-1.643436681438056,-0.5904328815311717,-0.9063340215032369,-1
2009-07-01,-1.5511346493794347,-0.9348199716889087,-1.1197143749960663,-1
2009-08-01,-1.465674314838658,-1.1941669711695848,-1.2756191742703067,-1
2009-09-01,-1.387863931293761,-1.2126242237284899,-1.2651961359980712,-1
2009-10-01,-1.3192385559758166,-0.26659413270448507,-0.5823874596858846,-1
2009-11-01,-1.2542697269063725,-0.406889949116607,-0.6611038824535366,-1
2009-12-01,-1.1929655961831067,1.2387383561152132,0.5092271704257172,1
2010-01-01,-1.1365633130953785,0.9771787657039361,0.34305614206414176,1
